    nSoil_Types           4398
        ID     CLAY[%]     SAND[%]   Bd_mu[gcm-3]       nSamples
      2317          31          43          1.270       15022514
      2318          31          44          1.286       15028534
      2319          31          45          1.306       15519135
      2320          31          46          1.322       16183773
      2321          31          47          1.334       16536868
      2322          31          48          1.345       16322066
      2323          31          49          1.350       15953080
      2324          31          50          1.352       16159104
      2325          31          51          1.354       15101495
      2326          31          52          1.361       14075503
      2327          31          53          1.369       12896893
      2328          31          54          1.376       12144500
      2329          31          55          1.381       12173358
      2330          31          56          1.387       12471903
      2331          31          57          1.399       12823046
      2332          31          58          1.416       13222236
      2333          31          59          1.437       12976134
      2334          31          60          1.451       10444956
      2335          31          61          1.460        6182635
      2336          31          62          1.463        2916495
      2337          31          63          1.463        1406797
      2338          31          64          1.467         613791
      2339          31          65          1.478         153720
      2340          31          66          1.479          14453
      2341          31          67          1.467            967
      2342          31          68          1.469             81
      2343          32           1          1.571           5340
      2344          32           2          1.579           9906
      2345          32           3          1.589          14792
      2346          32           4          1.595          21690
      2347          32           5          1.592          35692
      2348          32           6          1.590          61347
      2349          32           7          1.592          86256
      2350          32           8          1.590         113577
      2351          32           9          1.583         151447
      2352          32          10          1.582         189745
      2353          32          11          1.583         248770
      2354          32          12          1.589         296636
      2355          32          13          1.597         325963
      2356          32          14          1.592         380010
      2357          32          15          1.570         480104
      2358          32          16          1.536         645025
      2359          32          17          1.502         875807
      2360          32          18          1.466        1253097
      2361          32          19          1.437        1749032
      2362          32          20          1.417        2352366
      2363          32          21          1.405        2981017
      2364          32          22          1.402        3589195
      2365          32          23          1.406        4133456
      2366          32          24          1.413        4618384
      2367          32          25          1.417        5153805
      2368          32          26          1.421        5717908
      2369          32          27          1.427        6544707
      2370          32          28          1.434        7662264
      2371          32          29          1.437        8985424
      2372          32          30          1.438       10234895
      2373          32          31          1.434       11329466
      2374          32          32          1.426       11985408
      2375          32          33          1.412       12235300
      2376          32          34          1.391       12467835
      2377          32          35          1.367       12730093
      2378          32          36          1.342       13263053
      2379          32          37          1.319       14076216
      2380          32          38          1.299       15458069
      2381          32          39          1.280       16213977
      2382          32          40          1.265       16201573
      2383          32          41          1.258       16029404
      2384          32          42          1.259       15923203
      2385          32          43          1.274       15826998
      2386          32          44          1.296       16401169
      2387          32          45          1.316       17078885
      2388          32          46          1.329       17336515
      2389          32          47          1.339       17058250
      2390          32          48          1.344       16388129
      2391          32          49          1.344       15597250
      2392          32          50          1.346       15177740
      2393          32          51          1.352       13545561
      2394          32          52          1.362       12221610
      2395          32          53          1.372       11508589
      2396          32          54          1.380       11564960
      2397          32          55          1.387       11788738
      2398          32          56          1.398       12081505
      2399          32          57          1.415       12238311
      2400          32          58          1.434       11649363
      2401          32          59          1.447        9102854
      2402          32          60          1.454        5171413
      2403          32          61          1.457        2396594
      2404          32          62          1.460        1225858
      2405          32          63          1.466         541804
      2406          32          64          1.478         135909
      2407          32          65          1.480          12926
      2408          32          66          1.478            729
      2409          32          67          1.493             19
      2410          33           1          1.571           2472
      2411          33           2          1.591           4338
      2412          33           3          1.608           6734
      2413          33           4          1.619          10332
      2414          33           5          1.618          17866
      2415          33           6          1.614          31726
      2416          33           7          1.611          49161
      2417          33           8          1.607          69977
      2418          33           9          1.607          99430
      2419          33          10          1.614         138792
      2420          33          11          1.619         191878
      2421          33          12          1.624         240385
      2422          33          13          1.625         276919
      2423          33          14          1.613         342958
      2424          33          15          1.581         464951
      2425          33          16          1.540         649789
      2426          33          17          1.499         915746
      2427          33          18          1.463        1296302
      2428          33          19          1.437        1763002
      2429          33          20          1.422        2260361
      2430          33          21          1.415        2716352
      2431          33          22          1.417        3091211
      2432          33          23          1.422        3395768
      2433          33          24          1.428        3704227
      2434          33          25          1.431        4099447
      2435          33          26          1.434        4615965
      2436          33          27          1.439        5481210
      2437          33          28          1.443        6627376
      2438          33          29          1.444        7733250
      2439          33          30          1.440        8689243
      2440          33          31          1.429        9538310
      2441          33          32          1.413       10100753
      2442          33          33          1.391       10561006
      2443          33          34          1.365       11031478
      2444          33          35          1.338       11721185
      2445          33          36          1.314       12835511
      2446          33          37          1.292       14122217
      2447          33          38          1.273       15787657
      2448          33          39          1.257       16567207
      2449          33          40          1.249       16624273
      2450          33          41          1.252       16754385
      2451          33          42          1.265       17075070
      2452          33          43          1.287       17419697
      2453          33          44          1.309       18010604
      2454          33          45          1.325       18026088
      2455          33          46          1.334       17428139
      2456          33          47          1.338       16534843
      2457          33          48          1.338       15603128
      2458          33          49          1.339       14443833
      2459          33          50          1.345       13387188
      2460          33          51          1.356       11558859
      2461          33          52          1.370       10764361
      2462          33          53          1.379       10784537
      2463          33          54          1.387       10988585
      2464          33          55          1.399       11217396
      2465          33          56          1.415       11233789
      2466          33          57          1.430       10270329
      2467          33          58          1.440        7683585
      2468          33          59          1.445        4273045
      2469          33          60          1.447        1995568
      2470          33          61          1.453        1054149
      2471          33          62          1.462         484090
      2472          33          63          1.476         115464
      2473          33          64          1.479          11024
      2474          33          65          1.471            527
      2475          33          66          1.577             18
      2476          34           1          1.594            350
      2477          34           2          1.616           1108
      2478          34           3          1.634           2368
      2479          34           4          1.639           4800
      2480          34           5          1.640           9467
      2481          34           6          1.636          18876
      2482          34           7          1.638          31141
      2483          34           8          1.636          47725
      2484          34           9          1.636          81436
      2485          34          10          1.640         122008
      2486          34          11          1.642         170032
      2487          34          12          1.643         211807
      2488          34          13          1.638         250731
      2489          34          14          1.616         329145
      2490          34          15          1.576         463814
      2491          34          16          1.530         663415
      2492          34          17          1.494         931792
      2493          34          18          1.465        1271398
      2494          34          19          1.445        1647369
      2495          34          20          1.435        2018571
      2496          34          21          1.433        2316983
      2497          34          22          1.435        2551211
      2498          34          23          1.439        2774797
      2499          34          24          1.441        3066271
      2500          34          25          1.442        3490540
      2501          34          26          1.444        4108885
      2502          34          27          1.448        5021738
      2503          34          28          1.450        6000451
      2504          34          29          1.446        6811789
      2505          34          30          1.436        7533546
      2506          34          31          1.416        8166025
      2507          34          32          1.392        8720382
      2508          34          33          1.364        9388697
      2509          34          34          1.336       10266529
      2510          34          35          1.311       11593360
      2511          34          36          1.290       13352493
      2512          34          37          1.269       14987357
      2513          34          38          1.255       16841654
      2514          34          39          1.246       17746963
      2515          34          40          1.248       18140697
      2516          34          41          1.260       18498039
      2517          34          42          1.280       18878800
      2518          34          43          1.303       18878442
      2519          34          44          1.321       18495251
      2520          34          45          1.331       17465396
      2521          34          46          1.334       16356017
      2522          34          47          1.332       15437220
      2523          34          48          1.333       14287344
      2524          34          49          1.340       12610326
      2525          34          50          1.351       11361020
      2526          34          51          1.366       10090155
      2527          34          52          1.378        9951185
      2528          34          53          1.388       10213269
      2529          34          54          1.401       10387156
      2530          34          55          1.415       10189695
      2531          34          56          1.426        8841041
      2532          34          57          1.431        6143961
      2533          34          58          1.432        3283907
      2534          34          59          1.434        1562456
      2535          34          60          1.442         829792
      2536          34          61          1.456         377736
      2537          34          62          1.471          89613
      2538          34          63          1.472           8309
      2539          34          64          1.465            444
      2540          34          65          1.596             17
      2541          35           1          1.621            117
      2542          35           2          1.639            534
      2543          35           3          1.653           1415
      2544          35           4          1.657           2928
      2545          35           5          1.656           6078
      2546          35           6          1.653          12763
      2547          35           7          1.652          24502
      2548          35           8          1.651          43535
      2549          35           9          1.652          74121
      2550          35          10          1.653         106912
      2551          35          11          1.651         145760
      2552          35          12          1.649         183066
      2553          35          13          1.637         233205
      2554          35          14          1.603         323103
      2555          35          15          1.560         466126
      2556          35          16          1.520         667359
      2557          35          17          1.494         902357
      2558          35          18          1.471        1174265
      2559          35          19          1.457        1444399
      2560          35          20          1.451        1677097
      2561          35          21          1.449        1863690
      2562          35          22          1.450        2034382
      2563          35          23          1.452        2251559
      2564          35          24          1.453        2583329
      2565          35          25          1.454        3072128
      2566          35          26          1.456        3710086
      2567          35          27          1.459        4484733
      2568          35          28          1.456        5239714
      2569          35          29          1.444        5838753
      2570          35          30          1.421        6388973
      2571          35          31          1.392        6951241
      2572          35          32          1.362        7715407
      2573          35          33          1.332        8792276
      2574          35          34          1.306       10316666
      2575          35          35          1.286       12441078
      2576          35          36          1.270       14740766
      2577          35          37          1.253       16696399
      2578          35          38          1.249       18772581
      2579          35          39          1.251       19829452
      2580          35          40          1.260       20146809
      2581          35          41          1.277       20019009
      2582          35          42          1.298       19618042
      2583          35          43          1.319       18502884
      2584          35          44          1.330       17221869
      2585          35          45          1.332       15988334
      2586          35          46          1.329       14951096
      2587          35          47          1.328       13830872
      2588          35          48          1.334       12243389
      2589          35          49          1.347       10586301
      2590          35          50          1.362        9646288
      2591          35          51          1.376        9278598
      2592          35          52          1.389        9513714
      2593          35          53          1.402        9568879
      2594          35          54          1.413        9009047
      2595          35          55          1.421        7318180
      2596          35          56          1.422        4716204
      2597          35          57          1.418        2441774
      2598          35          58          1.421        1168076
      2599          35          59          1.432         611924
      2600          35          60          1.450         261718
      2601          35          61          1.467          61196
      2602          35          62          1.463           6467
      2603          35          63          1.462            381
      2604          35          64          1.545             15
      2605          36           1          1.639             56
      2606          36           2          1.647            301
      2607          36           3          1.661            759
      2608          36           4          1.670           1452
      2609          36           5          1.667           3492
      2610          36           6          1.663          10484
      2611          36           7          1.662          24129
      2612          36           8          1.658          44191
      2613          36           9          1.655          67754
      2614          36          10          1.655          91700
      2615          36          11          1.656         119493
      2616          36          12          1.648         154927
      2617          36          13          1.623         207319
      2618          36          14          1.581         305044
      2619          36          15          1.541         452571
      2620          36          16          1.511         631132
      2621          36          17          1.493         819090
      2622          36          18          1.478        1019274
      2623          36          19          1.468        1195710
      2624          36          20          1.464        1353214
      2625          36          21          1.463        1488861
      2626          36          22          1.466        1647379
      2627          36          23          1.468        1877736
      2628          36          24          1.469        2229343
      2629          36          25          1.468        2698827
      2630          36          26          1.468        3229841
      2631          36          27          1.462        3840886
      2632          36          28          1.450        4378995
      2633          36          29          1.424        4784464
      2634          36          30          1.389        5254168
      2635          36          31          1.354        5998033
      2636          36          32          1.324        7154485
      2637          36          33          1.298        8883577
      2638          36          34          1.280       11220464
      2639          36          35          1.267       14060133
      2640          36          36          1.256       16810884
      2641          36          37          1.250       18760124
      2642          36          38          1.255       20790351
      2643          36          39          1.263       21284381
      2644          36          40          1.276       20636227
      2645          36          41          1.297       19544765
      2646          36          42          1.317       18295698
      2647          36          43          1.330       16713892
      2648          36          44          1.331       15475705
      2649          36          45          1.326       14235342
      2650          36          46          1.323       13055002
      2651          36          47          1.329       11753519
      2652          36          48          1.342       10311678
      2653          36          49          1.359        9083792
      2654          36          50          1.373        8812242
      2655          36          51          1.388        8785494
      2656          36          52          1.402        8538948
      2657          36          53          1.412        7564988
      2658          36          54          1.417        5696503
      2659          36          55          1.415        3486299
      2660          36          56          1.411        1802137
      2661          36          57          1.412         875738
      2662          36          58          1.428         453998
      2663          36          59          1.451         185403
      2664          36          60          1.471          43042
      2665          36          61          1.468           5403
      2666          36          62          1.462            437
      2667          36          63          1.598              9
      2668          36          64          1.626              1
      2669          37           1          1.612              4
      2670          37           2          1.646             44
      2671          37           3          1.656            171
      2672          37           4          1.669            597
      2673          37           5          1.669           3444
      2674          37           6          1.669          13492
      2675          37           7          1.668          27458
      2676          37           8          1.667          39366
      2677          37           9          1.664          51530
      2678          37          10          1.667          67831
      2679          37          11          1.662          92832
      2680          37          12          1.645         126489
      2681          37          13          1.614         179175
      2682          37          14          1.573         265361
      2683          37          15          1.536         387500
      2684          37          16          1.511         534138
      2685          37          17          1.500         684579
      2686          37          18          1.488         835659
      2687          37          19          1.482         970277
      2688          37          20          1.480        1093059
      2689          37          21          1.480        1219024
      2690          37          22          1.482        1377622
      2691          37          23          1.484        1606495
      2692          37          24          1.483        1924519
      2693          37          25          1.472        2306220
      2694          37          26          1.461        2680477
      2695          37          27          1.445        3098678
      2696          37          28          1.419        3428894
      2697          37          29          1.383        3748627
      2698          37          30          1.343        4344727
      2699          37          31          1.311        5395770
      2700          37          32          1.289        7101832
      2701          37          33          1.276        9491572
      2702          37          34          1.269       12497204
      2703          37          35          1.263       15641997
      2704          37          36          1.259       18264981
      2705          37          37          1.260       19904149
      2706          37          38          1.268       21164434
      2707          37          39          1.278       20704387
      2708          37          40          1.296       19229545
      2709          37          41          1.317       17587849
      2710          37          42          1.330       15987477
      2711          37          43          1.330       14507055
      2712          37          44          1.323       13072674
      2713          37          45          1.318       11788363
      2714          37          46          1.324       10804535
      2715          37          47          1.337        9909297
      2716          37          48          1.355        8924369
      2717          37          49          1.372        8293761
      2718          37          50          1.386        7998884
      2719          37          51          1.399        7212116
      2720          37          52          1.410        5920324
      2721          37          53          1.414        4104158
      2722          37          54          1.412        2399967
      2723          37          55          1.408        1258442
      2724          37          56          1.410         629026
      2725          37          57          1.426         332755
      2726          37          58          1.453         129745
      2727          37          59          1.476          29824
      2728          37          60          1.475           4315
      2729          37          61          1.463            499
      2730          37          62          1.519              6
      2731          38           1          1.541              1
      2732          38           2          1.573              3
      2733          38           3          1.635             25
      2734          38           4          1.663            571
      2735          38           5          1.670           4730
      2736          38           6          1.676          13777
      2737          38           7          1.681          21026
      2738          38           8          1.681          24487
      2739          38           9          1.677          31780
      2740          38          10          1.675          48551
      2741          38          11          1.669          74222
      2742          38          12          1.650         108206
      2743          38          13          1.618         151227
      2744          38          14          1.576         218447
      2745          38          15          1.543         317106
      2746          38          16          1.523         439211
      2747          38          17          1.512         558178
      2748          38          18          1.501         670316
      2749          38          19          1.494         782818
      2750          38          20          1.493         904455
      2751          38          21          1.495        1027380
      2752          38          22          1.497        1182589
      2753          38          23          1.494        1388051
      2754          38          24          1.482        1627417
      2755          38          25          1.459        1895285
      2756          38          26          1.438        2188643
      2757          38          27          1.413        2443830
      2758          38          28          1.381        2697189
      2759          38          29          1.346        3119061
      2760          38          30          1.312        3968529
      2761          38          31          1.292        5458461
      2762          38          32          1.285        7731467
      2763          38          33          1.284       10672129
      2764          38          34          1.282       14004504
      2765          38          35          1.277       16975262
      2766          38          36          1.274       19002113
      2767          38          37          1.275       19848101
      2768          38          38          1.284       20385424
      2769          38          39          1.299       19081501
      2770          38          40          1.318       17222118
      2771          38          41          1.330       15277726
      2772          38          42          1.329       13516758
      2773          38          43          1.320       11896973
      2774          38          44          1.315       10634569
      2775          38          45          1.320        9767414
      2776          38          46          1.334        9270705
      2777          38          47          1.351        8766316
      2778          38          48          1.369        8055791
      2779          38          49          1.386        7233019
      2780          38          50          1.396        6075249
      2781          38          51          1.405        4564891
      2782          38          52          1.411        2943837
      2783          38          53          1.411        1670698
      2784          38          54          1.410         894017
      2785          38          55          1.410         459259
      2786          38          56          1.425         244775
      2787          38          57          1.451          91966
      2788          38          58          1.476          20851
      2789          38          59          1.485           3376
      2790          38          60          1.456            391
      2791          38          61          1.467             14
      2792          39           2          1.623              2
      2793          39           3          1.665             53
      2794          39           4          1.668            706
      2795          39           5          1.678           3735
      2796          39           6          1.686           8474
      2797          39           7          1.686           9988
      2798          39           8          1.680          13296
      2799          39           9          1.673          25603
      2800          39          10          1.672          46288
      2801          39          11          1.671          71349
      2802          39          12          1.656          97343
      2803          39          13          1.633         127698
      2804          39          14          1.595         178509
      2805          39          15          1.563         249949
      2806          39          16          1.542         340541
      2807          39          17          1.529         416765
      2808          39          18          1.518         498982
      2809          39          19          1.512         594032
      2810          39          20          1.511         704366
      2811          39          21          1.512         815809
      2812          39          22          1.509         949711
      2813          39          23          1.493        1097735
      2814          39          24          1.469        1246955
      2815          39          25          1.440        1435783
      2816          39          26          1.416        1602254
      2817          39          27          1.392        1771450
      2818          39          28          1.360        2088172
      2819          39          29          1.325        2668995
      2820          39          30          1.303        3863496
      2821          39          31          1.299        5831121
      2822          39          32          1.301        8583351
      2823          39          33          1.300       11821162
      2824          39          34          1.294       14847840
      2825          39          35          1.285       16901573
      2826          39          36          1.282       18026054
      2827          39          37          1.286       18056996
      2828          39          38          1.299       18020929
      2829          39          39          1.316       16446613
      2830          39          40          1.327       14188447
      2831          39          41          1.327       12054859
      2832          39          42          1.316       10401203
      2833          39          43          1.309        9298388
      2834          39          44          1.315        8659350
      2835          39          45          1.330        8416119
      2836          39          46          1.348        8228045
      2837          39          47          1.365        7482598
      2838          39          48          1.380        6408841
      2839          39          49          1.392        4923229
      2840          39          50          1.394        3413830
      2841          39          51          1.399        2031101
      2842          39          52          1.407        1136230
      2843          39          53          1.414         600894
      2844          39          54          1.415         292796
      2845          39          55          1.430         157604
      2846          39          56          1.453          64637
      2847          39          57          1.479          15671
      2848          39          58          1.496           2634
      2849          39          59          1.490            300
      2850          39          60          1.414             11
      2851          40           1          1.544              1
      2852          40           3          1.674             15
      2853          40           4          1.683            354
      2854          40           5          1.689           1498
      2855          40           6          1.686           2595
      2856          40           7          1.676           5454
      2857          40           8          1.672          14311
      2858          40           9          1.671          30214
      2859          40          10          1.674          48879
      2860          40          11          1.676          66106
      2861          40          12          1.671          85602
      2862          40          13          1.658         106114
      2863          40          14          1.628         135247
      2864          40          15          1.597         174245
      2865          40          16          1.570         228126
      2866          40          17          1.555         281853
      2867          40          18          1.542         353810
      2868          40          19          1.534         440229
      2869          40          20          1.530         539410
      2870          40          21          1.526         630247
      2871          40          22          1.514         716862
      2872          40          23          1.490         796051
      2873          40          24          1.461         880829
      2874          40          25          1.431        1007324
      2875          40          26          1.406        1123636
      2876          40          27          1.376        1343119
      2877          40          28          1.341        1794108
      2878          40          29          1.316        2710585
      2879          40          30          1.313        4374454
      2880          40          31          1.315        6737476
      2881          40          32          1.313        9554374
      2882          40          33          1.305       12224801
      2883          40          34          1.295       14115183
      2884          40          35          1.289       15290536
      2885          40          36          1.290       15841264
      2886          40          37          1.297       15596367
      2887          40          38          1.310       15019711
      2888          40          39          1.320       12933907
      2889          40          40          1.319       10650916
      2890          40          41          1.309        9041753
      2891          40          42          1.302        8178472
      2892          40          43          1.309        7708624
      2893          40          44          1.326        7599412
      2894          40          45          1.345        7581015
      2895          40          46          1.362        6812625
      2896          40          47          1.375        5531145
      2897          40          48          1.383        4088272
      2898          40          49          1.385        2649741
      2899          40          50          1.382        1533043
      2900          40          51          1.391         846252
      2901          40          52          1.414         410106
      2902          40          53          1.424         175597
      2903          40          54          1.440          98025
      2904          40          55          1.459          44043
      2905          40          56          1.482          11654
      2906          40          57          1.507           2008
      2907          40          58          1.526            212
      2908          40          59          1.472              4
      2909          41           2          1.659              1
      2910          41           3          1.668              6
      2911          41           4          1.689            109
      2912          41           5          1.685            354
      2913          41           6          1.667           1103
      2914          41           7          1.665           4393
      2915          41           8          1.666          12685
      2916          41           9          1.668          24404
      2917          41          10          1.675          38109
      2918          41          11          1.685          53830
      2919          41          12          1.684          72020
      2920          41          13          1.677          87325
      2921          41          14          1.652          99044
      2922          41          15          1.622         121389
      2923          41          16          1.598         157051
      2924          41          17          1.577         201194
      2925          41          18          1.561         262040
      2926          41          19          1.548         341386
      2927          41          20          1.542         415587
      2928          41          21          1.530         473334
      2929          41          22          1.511         524492
      2930          41          23          1.485         575463
      2931          41          24          1.454         630678
      2932          41          25          1.417         750874
      2933          41          26          1.387         923580
      2934          41          27          1.360        1278794
      2935          41          28          1.343        2042317
      2936          41          29          1.337        3453735
      2937          41          30          1.340        5446650
      2938          41          31          1.337        7699091
      2939          41          32          1.328        9816632
      2940          41          33          1.316       11311041
      2941          41          34          1.305       12366316
      2942          41          35          1.299       13094364
      2943          41          36          1.299       13237791
      2944          41          37          1.305       12580170
      2945          41          38          1.312       11397194
      2946          41          39          1.311        9437473
      2947          41          40          1.300        7997962
      2948          41          41          1.293        7222730
      2949          41          42          1.303        6873693
      2950          41          43          1.324        6797556
      2951          41          44          1.345        6822628
      2952          41          45          1.361        6130879
      2953          41          46          1.371        4789536
      2954          41          47          1.374        3466129
      2955          41          48          1.371        2266511
      2956          41          49          1.371        1301595
      2957          41          50          1.367         739726
      2958          41          51          1.395         316616
      2959          41          52          1.430         109538
      2960          41          53          1.449          61651
      2961          41          54          1.466          29582
      2962          41          55          1.493           7770
      2963          41          56          1.527           1449
      2964          41          57          1.538            154
      2965          41          58          1.602              2
      2966          42           1          1.596              1
      2967          42           2          1.674              1
      2968          42           3          1.597              2
      2969          42           4          1.666             55
      2970          42           5          1.637            107
      2971          42           6          1.626            724
      2972          42           7          1.638           3210
      2973          42           8          1.643           7587
      2974          42           9          1.662          13570
      2975          42          10          1.687          24402
      2976          42          11          1.694          40489
      2977          42          12          1.691          57854
      2978          42          13          1.680          69038
      2979          42          14          1.659          79996
      2980          42          15          1.638          95534
      2981          42          16          1.614         118159
      2982          42          17          1.591         151539
      2983          42          18          1.574         203043
      2984          42          19          1.560         264770
      2985          42          20          1.546         312410
      2986          42          21          1.528         348972
      2987          42          22          1.503         384898
      2988          42          23          1.474         424753
      2989          42          24          1.436         496991
      2990          42          25          1.395         668378
      2991          42          26          1.383         941504
      2992          42          27          1.385        1597530
      2993          42          28          1.385        2847596
      2994          42          29          1.382        4573696
      2995          42          30          1.381        6467998
      2996          42          31          1.371        8072055
      2997          42          32          1.354        9212057
      2998          42          33          1.337       10000492
      2999          42          34          1.321       10537105
      3000          42          35          1.309       10685346
      3001          42          36          1.307       10364067
      3002          42          37          1.309        9352529
      3003          42          38          1.305        8245499
      3004          42          39          1.294        7107079
      3005          42          40          1.287        6348749
      3006          42          41          1.298        6008330
      3007          42          42          1.322        5988045
      3008          42          43          1.346        5972704
      3009          42          44          1.361        5406602
