    nSoil_Types           4398
        ID     CLAY[%]     SAND[%]   Bd_mu[gcm-3]       nSamples
       559           9          16          1.044             22
       560           9          17          0.968             57
       561           9          18          0.918            465
       562           9          19          0.925           1765
       563           9          20          0.941           4664
       564           9          21          0.963           8616
       565           9          22          0.988          12362
       566           9          23          1.003          15753
       567           9          24          1.009          19723
       568           9          25          1.009          25904
       569           9          26          0.992          37843
       570           9          27          0.987          53988
       571           9          28          0.985          75227
       572           9          29          0.986         100635
       573           9          30          0.990         132444
       574           9          31          0.989         180479
       575           9          32          0.992         240347
       576           9          33          0.996         310800
       577           9          34          1.003         377166
       578           9          35          1.011         439452
       579           9          36          1.018         495144
       580           9          37          1.025         565705
       581           9          38          1.023         650012
       582           9          39          1.027         729077
       583           9          40          1.033         795211
       584           9          41          1.038         839397
       585           9          42          1.044         870138
       586           9          43          1.045         925415
       587           9          44          1.039        1023474
       588           9          45          1.028        1181246
       589           9          46          1.013        1419772
       590           9          47          0.995        1795189
       591           9          48          0.973        2412830
       592           9          49          0.963        3181540
       593           9          50          0.968        4091593
       594           9          51          0.972        5172711
       595           9          52          0.990        6579656
       596           9          53          1.021        7798275
       597           9          54          1.056        8696685
       598           9          55          1.092        9428590
       599           9          56          1.125        9895183
       600           9          57          1.151        9853747
       601           9          58          1.166        9282356
       602           9          59          1.176        8487638
       603           9          60          1.184        7650797
       604           9          61          1.194        6719019
       605           9          62          1.212        5749400
       606           9          63          1.235        4763254
       607           9          64          1.255        4139193
       608           9          65          1.272        3688914
       609           9          66          1.283        3146780
       610           9          67          1.295        2624044
       611           9          68          1.309        2221180
       612           9          69          1.323        1918322
       613           9          70          1.338        1761862
       614           9          71          1.358        1741154
       615           9          72          1.385        1828720
       616           9          73          1.413        2002208
       617           9          74          1.435        2217410
       618           9          75          1.455        2438859
       619           9          76          1.472        2729328
       620           9          77          1.486        3249212
       621           9          78          1.495        3894157
       622           9          79          1.499        4708410
       623           9          80          1.500        5894660
       624           9          81          1.498        7698347
       625           9          82          1.496        9883226
       626           9          83          1.498       12412265
       627           9          84          1.505       14244669
       628           9          85          1.512       14328239
       629           9          86          1.519       12625337
       630           9          87          1.526        9977616
       631           9          88          1.528        6157493
       632           9          89          1.529        2810485
       633           9          90          1.541        1236203
       634           9          91          1.556         494759
       635           9          92          1.569         104954
       636          10           8          1.150              2
       637          10           9          1.068              3
       638          10          10          1.233             10
       639          10          11          1.259              9
       640          10          12          1.261             18
       641          10          13          1.171             41
       642          10          14          1.164             47
       643          10          15          1.144             78
       644          10          16          1.114             98
       645          10          17          1.080            163
       646          10          18          1.003            389
       647          10          19          0.952           1436
       648          10          20          0.942           4164
       649          10          21          0.955           8549
       650          10          22          0.969          14455
       651          10          23          0.979          21619
       652          10          24          0.976          32215
       653          10          25          0.978          49802
       654          10          26          0.971          81527
       655          10          27          0.972         136503
       656          10          28          0.975         219047
       657          10          29          0.979         333586
       658          10          30          0.985         474778
       659          10          31          0.993         631768
       660          10          32          1.002         810073
       661          10          33          1.012         996680
       662          10          34          1.025        1168569
       663          10          35          1.037        1301245
       664          10          36          1.047        1405921
       665          10          37          1.055        1515973
       666          10          38          1.056        1626549
       667          10          39          1.063        1696613
       668          10          40          1.069        1741507
       669          10          41          1.072        1762891
       670          10          42          1.071        1828294
       671          10          43          1.062        1950555
       672          10          44          1.050        2159092
       673          10          45          1.036        2497393
       674          10          46          1.021        3024518
       675          10          47          1.004        3865311
       676          10          48          0.994        4992581
       677          10          49          0.997        6058370
       678          10          50          1.013        7194929
       679          10          51          1.024        8426422
       680          10          52          1.046       10154061
       681          10          53          1.073       11672894
       682          10          54          1.102       12633539
       683          10          55          1.129       12969339
       684          10          56          1.150       12648474
       685          10          57          1.165       11897053
       686          10          58          1.175       10904699
       687          10          59          1.187        9811071
       688          10          60          1.201        8806564
       689          10          61          1.219        7733188
       690          10          62          1.241        6764282
       691          10          63          1.260        5705324
       692          10          64          1.279        4909911
