Time,Qobs,Qmhm,Qmhm_mat
9/9/1950 23:00,,7.097308264,
9/10/1950 23:00,,7.196683374,
9/11/1950 23:00,,7.208072957,
9/12/1950 23:00,,7.068137075,
9/13/1950 23:00,,7.087265771,
9/14/1950 23:00,,8.04654138,
9/15/1950 23:00,,9.896060959,
9/16/1950 23:00,,10.5987658,
9/17/1950 23:00,,10.58268604,
9/18/1950 23:00,,10.7070065,
9/19/1950 23:00,,10.72036008,
9/20/1950 23:00,,10.36066738,
9/21/1950 23:00,,10.04688797,
9/22/1950 23:00,,9.841168029,
9/23/1950 23:00,,9.85609222,
9/24/1950 23:00,,9.914151618,
9/25/1950 23:00,,9.978471419,
9/26/1950 23:00,,10.26734897,
9/27/1950 23:00,,10.55201579,
9/28/1950 23:00,,10.7231804,
9/29/1950 23:00,,11.08258056,
9/30/1950 23:00,,11.81309521,
10/1/1950 23:00,,12.40581988,
10/2/1950 23:00,,12.48512245,
10/3/1950 23:00,,12.85038759,
10/4/1950 23:00,,13.07530497,
10/5/1950 23:00,,12.9824329,
10/6/1950 23:00,,13.20817968,
10/7/1950 23:00,,13.61726986,
10/8/1950 23:00,,13.07861148,
10/9/1950 23:00,,12.50580743,
10/10/1950 23:00,,11.95483462,
10/11/1950 23:00,,11.49036707,
10/12/1950 23:00,,11.06134186,
10/13/1950 23:00,,10.64933157,
10/14/1950 23:00,,10.27710409,
10/15/1950 23:00,,10.01506522,
10/16/1950 23:00,,10.06005203,
10/17/1950 23:00,,10.38165079,
10/18/1950 23:00,,11.00653554,
10/19/1950 23:00,,11.90550653,
10/20/1950 23:00,,12.87922367,
10/21/1950 23:00,,13.46936112,
10/22/1950 23:00,,14.29714326,
10/23/1950 23:00,,16.32287099,
10/24/1950 23:00,,18.71494868,
10/25/1950 23:00,,20.45161727,
10/26/1950 23:00,,21.06296465,
10/27/1950 23:00,,22.16921987,
10/28/1950 23:00,,23.18179776,
10/29/1950 23:00,,23.22432467,
10/30/1950 23:00,,23.73793178,
10/31/1950 23:00,,24.69529211,
11/1/1950 23:00,,25.82554545,
11/2/1950 23:00,,26.27060389,
11/3/1950 23:00,,26.11209953,
