Date,Qobs,Qmhm,Qmhm_mat,Melt_total
6/30/2009,59,48.24719873,12.5009795,0
7/1/2009,53.1,48.52847802,12.8973401,0
7/2/2009,52.1,48.54048813,13.0368336,0
7/3/2009,52.7,48.50418972,13.1399067,0
7/4/2009,53.2,48.56987648,13.3275796,0
7/5/2009,51.8,48.80311371,13.6748796,0
7/6/2009,54.3,48.79060285,13.72174,0
7/7/2009,56.4,48.32088439,13.3791955,0
7/8/2009,54.8,47.74768369,12.9633978,0
7/9/2009,56.7,47.09492722,12.4669895,0
7/10/2009,56.3,46.50707252,12.0274385,0
7/11/2009,54.6,45.98048957,11.6443389,0
7/12/2009,54.8,45.53336956,11.3373024,0
7/13/2009,55,45.20891946,11.1420401,0
7/14/2009,55.3,44.87644662,10.9248606,0
7/15/2009,55.7,44.50483163,10.6717595,0
7/16/2009,,44.14508358,10.4442343,0
7/17/2009,55.5,43.78564841,10.2131797,0
7/18/2009,53.8,43.52485478,10.0741349,0
7/19/2009,54.4,43.33509523,9.9956139,0
7/20/2009,53.7,43.34506069,10.114788,0
7/21/2009,54.8,44.15388416,11.0284747,0
7/22/2009,54.6,45.16840363,12.0648444,0
7/23/2009,53.3,44.93637579,11.9276791,0
7/24/2009,54.1,44.42199501,11.5414599,0
7/25/2009,53.2,43.96137432,11.2052432,0
7/26/2009,54.1,43.54197345,10.9061005,0
7/27/2009,54.3,43.26515339,10.7506141,0
7/28/2009,54.5,43.09876161,10.6867035,0
7/29/2009,54.8,42.82397103,10.5198574,0
7/30/2009,57.5,42.65434733,10.4644483,0
7/31/2009,53.4,42.88734182,10.7958729,0
8/1/2009,53.6,43.13513063,11.1095341,0
8/2/2009,54.4,43.04733989,11.1148501,0
8/3/2009,54.5,43.06218331,11.2230297,0
8/4/2009,55.7,43.33708669,11.571614,0
8/5/2009,53.3,43.99403578,12.3037462,0
8/6/2009,54.4,44.37680305,12.7376439,0
8/7/2009,55.3,43.97628145,12.4220541,0
8/8/2009,51.8,43.44683237,11.9918872,0
8/9/2009,54.4,42.93688837,11.5924171,0
8/10/2009,54.6,42.49572767,11.2613053,1.633
8/11/2009,57.1,42.27069205,11.1184197,4.316
8/12/2009,58.6,42.65896755,11.4719706,4.067
8/13/2009,51.5,43.44491879,12.1070255,3.702
8/14/2009,57.3,44.51618514,12.9639951,3.218
8/15/2009,79.4,50.51454966,18.9333836,1.75
8/16/2009,60.4,57.80661802,26.0310598,0
8/17/2009,60.9,57.14408523,25.4246053,0
8/18/2009,64.6,59.35636283,27.7963544,0
8/19/2009,69.2,64.25024911,32.4810344,0
8/20/2009,65.2,64.21472208,32.4488757,0
8/21/2009,64.1,63.9279747,32.4188147,0
8/22/2009,67.9,66.42850887,34.9166824,0
8/23/2009,65.9,67.97251532,36.3413706,0
8/24/2009,64.5,67.64492915,36.1875846,0
8/25/2009,69.5,67.5739385,36.2505586,4.146
8/26/2009,84.1,68.21892581,36.6382684,8.842
8/27/2009,89.2,67.10154626,35.4408164,16.114
8/28/2009,79.8,66.92810169,35.2778016,16.099
8/29/2009,81.7,67.0270891,35.1304586,11.337
8/30/2009,76.9,65.83611463,34.327907,7.113
8/31/2009,68.4,64.25029709,33.122937,5.087
9/1/2009,64.3,63.74113077,33.1086911,4.206
9/2/2009,60.4,64.88768063,34.6426886,2.972
9/3/2009,58.9,64.61565629,34.5560468,1.645
9/4/2009,56.4,62.56090971,32.6685148,1.462
9/5/2009,72,66.11435109,36.5984171,0.701
9/6/2009,365,103.9343522,75.3707391,0
9/7/2009,201,138.7983117,107.1615389,0
9/8/2009,119,126.5169948,94.753119,0
9/9/2009,94.8,113.0157025,81.2799742,0
9/10/2009,81.7,100.9842992,69.404588,0
9/11/2009,76.5,91.29591166,59.8095754,0
9/12/2009,76,83.80605163,52.6428439,1.424
9/13/2009,73.9,78.52911568,47.8655481,3.445
9/14/2009,67.8,75.64304895,45.23237,3.597
9/15/2009,66.8,74.0795187,43.444848,3.321
9/16/2009,67.2,72.06380747,41.5736428,3.245
9/17/2009,69.7,70.2824446,40.0904231,2.317
9/18/2009,66.5,68.8542442,38.6858335,2.11
9/19/2009,69.9,67.14075775,37.4110841,7.948
9/20/2009,71.4,65.94185895,37.0951306,10.178
9/21/2009,73.3,65.70374258,38.1585201,9.757
9/22/2009,65.2,65.58323359,39.4190385,8.967
9/23/2009,64.9,64.26559943,39.6049713,12.702
9/24/2009,68.5,63.0466328,40.1616588,15.129
9/25/2009,71.7,62.77256518,41.2241971,10.2
9/26/2009,69.5,63.11946938,42.4039634,8.936
9/27/2009,66.9,63.33267998,43.3336323,6.901
9/28/2009,61.4,63.37067536,43.6082952,5.386
9/29/2009,61,62.31186448,42.5591367,4.868
9/30/2009,61.3,60.84618827,40.9876758,4.137
10/1/2009,62.5,59.41700546,39.6800435,6.541
10/2/2009,67.9,58.73114071,39.5856169,11.976
10/3/2009,67.6,58.7178213,40.5807929,13.816
10/4/2009,64.1,58.41944391,41.3644998,9.928
