Date,Qobs
6/26/2016,1.42
6/27/2016,1.47
6/28/2016,1.49
6/29/2016,1.51
6/30/2016,1.52
7/1/2016,1.49
7/2/2016,1.65
7/3/2016,1.33
7/4/2016,1.32
7/5/2016,1.32
7/6/2016,1.43
7/7/2016,1.23
7/8/2016,1.31
7/9/2016,1.4
7/10/2016,1.34
7/11/2016,1.5
7/12/2016,1.43
7/13/2016,1.62
7/14/2016,1.6
7/15/2016,1.59
7/16/2016,1.42
7/17/2016,1.44
7/18/2016,1.52
7/19/2016,1.58
7/20/2016,1.51
7/21/2016,1.5
7/22/2016,1.53
7/23/2016,1.52
7/24/2016,1.41
7/25/2016,1.43
7/26/2016,1.43
7/27/2016,1.41
7/28/2016,1.42
7/29/2016,1.46
7/30/2016,1.46
7/31/2016,1.47
8/1/2016,1.58
8/2/2016,1.39
8/3/2016,1.42
8/4/2016,1.53
8/5/2016,1.53
8/6/2016,1.37
8/7/2016,1.45
8/8/2016,1.37
8/9/2016,1.4
8/10/2016,1.42
8/11/2016,1.45
8/12/2016,1.39
8/13/2016,1.39
8/14/2016,1.46
8/15/2016,1.47
8/16/2016,1.46
8/17/2016,1.42
8/18/2016,1.42
8/19/2016,1.4
8/20/2016,1.39
8/21/2016,1.41
8/22/2016,1.48
8/23/2016,1.55
8/24/2016,1.54
8/25/2016,1.6
8/26/2016,1.52
8/27/2016,1.45
8/28/2016,1.42
8/29/2016,1.45
8/30/2016,1.51
8/31/2016,1.52
9/1/2016,1.46
9/2/2016,1.47
9/3/2016,1.52
9/4/2016,1.44
9/5/2016,1.51
9/6/2016,1.51
9/7/2016,1.59
9/8/2016,1.54
9/9/2016,1.55
9/10/2016,1.58
9/11/2016,1.5
9/12/2016,1.43
9/13/2016,1.39
9/14/2016,1.47
9/15/2016,1.61
9/16/2016,1.51
9/17/2016,1.39
9/18/2016,1.52
9/19/2016,1.63
9/20/2016,1.8
9/21/2016,1.66
9/22/2016,1.76
9/23/2016,2
9/24/2016,2
9/25/2016,1.98
9/26/2016,1.94
9/27/2016,1.98
9/28/2016,1.95
9/29/2016,1.93
9/30/2016,1.79
10/1/2016,1.81
10/2/2016,1.68
10/3/2016,1.74
10/4/2016,1.8
10/5/2016,1.79
10/6/2016,1.72
10/7/2016,1.7
10/8/2016,1.63
10/9/2016,1.72
10/10/2016,1.66
10/11/2016,1.62
10/12/2016,1.67
10/13/2016,1.57
10/14/2016,1.57
10/15/2016,1.62
10/16/2016,1.56
10/17/2016,1.48
10/18/2016,1.45
10/19/2016,1.44
10/20/2016,1.53
10/21/2016,1.58
10/22/2016,1.66
10/23/2016,1.62
10/24/2016,1.5
10/25/2016,1.49
10/26/2016,1.53
10/27/2016,1.64
10/28/2016,1.98
10/29/2016,1.83
10/30/2016,1.66
10/31/2016,1.57
11/1/2016,1.48
11/2/2016,1.49
11/3/2016,1.48
11/4/2016,1.61
11/5/2016,1.79
11/6/2016,1.89
11/7/2016,2.04
11/8/2016,2.6
11/9/2016,2.23
11/10/2016,2.08
11/11/2016,2.59
11/12/2016,2.04
11/13/2016,2.13
11/14/2016,1.89
11/15/2016,1.88
11/16/2016,1.83
11/17/2016,1.87
11/18/2016,1.82
11/19/2016,2.21
11/20/2016,2.09
11/21/2016,2
11/22/2016,1.83
