Area,Elevation,Area1,Elevation1,Area2,Elevation2,Area3,Elevation3,Area4,Elevation4,Area5,Elevation5
,,86875,5360,230000,4890,83750,5170,254375,4460,159375,4850
,,83125,5370,233125,4900,74375,5180,242500,4470,160000,4860
,,75000,5380,243750,4910,73750,5190,238750,4480,156250,4870
,,68750,5390,240625,4920,76250,5200,234375,4490,136250,4880
,,80625,5400,236250,4930,64375,5210,263125,4500,132500,4890
,,86250,5410,248750,4940,70625,5220,235625,4510,111875,4900
,,83125,5420,255625,4950,58125,5230,250625,4520,93750,4910
,,69375,5430,231250,4960,66250,5240,253125,4530,89375,4920
,,60625,5440,248750,4970,70625,5250,266875,4540,115625,4930
,,52500,5450,289375,4980,71875,5260,273125,4550,84375,4940
,,58125,5460,263125,4990,76875,5270,286250,4560,83125,4950
,,48750,5470,283750,5000,78125,5280,298750,4570,79375,4960
,,35625,5480,251875,5010,83750,5290,282500,4580,72500,4970
,,38125,5490,250625,5020,88750,5300,281875,4590,70000,4980
,,31875,5500,243125,5030,81875,5310,286250,4600,56875,4990
,,34375,5510,219375,5040,98125,5320,295000,4610,67500,5000
,,34375,5520,220000,5050,86250,5330,282500,4620,60000,5010
,,33750,5530,214375,5060,89375,5340,283125,4630,62500,5020
,,26875,5540,221250,5070,74375,5350,286250,4640,62500,5030
,,31875,5550,199375,5080,77500,5360,278750,4650,53125,5040
,,26250,5560,215000,5090,78750,5370,313125,4660,69375,5050
,,37500,5570,240000,5100,55000,5380,320625,4670,60625,5060
,,25625,5580,216875,5110,57500,5390,313750,4680,55625,5070
,,45000,5590,201250,5120,54375,5400,333750,4690,46250,5080
,,33750,5600,196875,5130,60000,5410,351250,4700,55625,5090
,,20625,5610,201250,5140,56875,5420,350625,4710,36875,5100
,,42500,5620,195625,5150,51875,5430,354375,4720,36875,5110
,,28750,5630,203750,5160,55625,5440,331250,4730,33750,5120
,,31250,5640,218125,5170,49375,5450,318125,4740,21875,5130
,,28750,5650,201250,5180,41875,5460,333750,4750,21250,5140
,,30625,5660,233125,5190,42500,5470,332500,4760,23750,5150
,,20000,5670,237500,5200,41250,5480,344375,4770,18125,5160
,,28750,5680,235625,5210,50625,5490,338750,4780,17500,5170
,,27500,5690,240625,5220,45625,5500,321250,4790,13125,5180
,,21875,5700,356250,5230,46250,5510,320000,4800,12500,5190
,,25000,5710,460625,5240,39375,5520,317500,4810,4375,5200
,,25625,5720,517500,5250,41875,5530,316875,4820,6250,5210
,,25625,5730,528750,5260,43125,5540,353125,4830,10625,5220
,,26250,5740,480625,5270,41250,5550,345000,4840,6250,5230
,,26875,5750,428125,5280,36250,5560,324375,4850,5000,5240
,,25000,5760,376875,5290,41250,5570,330625,4860,6875,5250
,,19375,5770,323750,5300,32500,5580,338125,4870,3750,5260
,,25625,5780,306875,5310,32500,5590,309375,4880,3750,5270
,,25000,5790,340625,5320,42500,5600,338750,4890,2500,5280
,,30625,5800,343750,5330,40000,5610,352500,4900,1875,5290
,,33750,5810,327500,5340,34375,5620,355000,4910,625,5296
,,21875,5820,283125,5350,28125,5630,336875,4920,,
,,15000,5830,290625,5360,35625,5640,343125,4930,,
,,13125,5840,271875,5370,26875,5650,318750,4940,,
,,11875,5850,285625,5380,22500,5660,320625,4950,,
,,6875,5860,291250,5390,31250,5670,303125,4960,,
,,3125,5870,291250,5400,27500,5680,321875,4970,,
,,1875,5880,285000,5410,23125,5690,307500,4980,,
,,625,5890,341250,5420,21250,5700,321875,4990,,
,,625,5900,398750,5430,21250,5710,316250,5000,,
,,,,432500,5440,18125,5720,304375,5010,,
,,,,366250,5450,26250,5730,306250,5020,,
,,,,404375,5460,27500,5740,278125,5030,,
,,,,556250,5470,21875,5750,296250,5040,,
,,,,493750,5480,26250,5760,341250,5050,,
,,,,404375,5490,27500,5770,358125,5060,,
,,,,387500,5500,21875,5780,380625,5070,,
,,,,378125,5510,29375,5790,361875,5080,,
,,,,456250,5520,32500,5800,360000,5090,,
,,,,598750,5530,23750,5810,328750,5100,,
,,,,498125,5540,20625,5820,335000,5110,,
,,,,396250,5550,19375,5830,345000,5120,,
,,,,320625,5560,18125,5840,296250,5130,,
,,,,291875,5570,16250,5850,284375,5140,,
,,,,316875,5580,11250,5860,280625,5150,,
,,,,631875,5590,15625,5870,264375,5160,,
,,,,558750,5600,9375,5880,258750,5170,,
,,,,483750,5610,13125,5890,240000,5180,,
,,,,418750,5620,8125,5900,243750,5190,,
,,,,336875,5630,10625,5910,226875,5200,,
,,,,281875,5640,8125,5920,224375,5210,,
