Date,Qobs
7/14/2012,38.2
7/15/2012,37.7
7/16/2012,37.5
7/17/2012,38.4
7/18/2012,39.6
7/19/2012,40.3
7/20/2012,39.6
7/21/2012,38.7
7/22/2012,39.8
7/23/2012,38.2
7/24/2012,36.7
7/25/2012,36.3
7/26/2012,36.4
7/27/2012,37
7/28/2012,37.2
7/29/2012,36.9
7/30/2012,37.4
7/31/2012,36
8/1/2012,35.9
8/2/2012,35.3
8/3/2012,35.5
8/4/2012,34.6
8/5/2012,34.4
8/6/2012,35.1
8/7/2012,34.5
8/8/2012,34.3
8/9/2012,34.1
8/10/2012,35
8/11/2012,33.9
8/12/2012,33.5
8/13/2012,33.5
8/14/2012,33.9
8/15/2012,34.6
8/16/2012,37.3
8/17/2012,38.2
8/18/2012,35.1
8/19/2012,35.2
8/20/2012,34.4
8/21/2012,34.7
8/22/2012,34
8/23/2012,34.7
8/24/2012,33.1
8/25/2012,33.7
8/26/2012,33
8/27/2012,34.4
8/28/2012,36.9
8/29/2012,35.9
8/30/2012,38.1
8/31/2012,36.3
9/1/2012,40.9
9/2/2012,41.8
9/3/2012,45.5
9/4/2012,45.9
9/5/2012,42.8
9/6/2012,45.8
9/7/2012,45.8
9/8/2012,47.5
9/9/2012,48.8
9/10/2012,49.6
9/11/2012,50.3
9/12/2012,50.8
9/13/2012,54.5
9/14/2012,59.1
9/15/2012,59.2
9/16/2012,54.5
9/17/2012,48.4
9/18/2012,45.4
9/19/2012,42.1
9/20/2012,42
9/21/2012,40.8
9/22/2012,40.5
9/23/2012,45.1
9/24/2012,45.1
9/25/2012,42.5
9/26/2012,48.2
9/27/2012,58.9
9/28/2012,55.4
9/29/2012,54
9/30/2012,49.1
10/1/2012,46.9
10/2/2012,43.7
10/3/2012,44
10/4/2012,46.3
10/5/2012,47.6
10/6/2012,46.8
10/7/2012,46.1
10/8/2012,45.2
10/9/2012,45.3
10/10/2012,47
10/11/2012,50.5
10/12/2012,56
10/13/2012,59.1
10/14/2012,67.4
10/15/2012,62
10/16/2012,59.3
10/17/2012,65.8
10/18/2012,68.3
10/19/2012,67.6
10/20/2012,60.9
10/21/2012,52.3
10/22/2012,52.6
10/23/2012,49.2
10/24/2012,48.9
10/25/2012,47.3
10/26/2012,49.1
10/27/2012,50.4
10/28/2012,47.8
10/29/2012,54
10/30/2012,63.9
10/31/2012,68.5
11/1/2012,76.6
11/2/2012,90.1
11/3/2012,103
11/4/2012,111
11/5/2012,123
11/6/2012,130
11/7/2012,138
11/8/2012,141
11/9/2012,126
11/10/2012,108
11/11/2012,97.4
11/12/2012,108
11/13/2012,123
11/14/2012,132
11/15/2012,142
11/16/2012,145
11/17/2012,138
11/18/2012,136
11/19/2012,148
11/20/2012,161
11/21/2012,175
11/22/2012,160
11/23/2012,135
11/24/2012,131
11/25/2012,134
11/26/2012,140
11/27/2012,142
11/28/2012,149
11/29/2012,139
11/30/2012,113
12/1/2012,104
12/2/2012,98.4
12/3/2012,115
12/4/2012,126
12/5/2012,138
12/6/2012,135
12/7/2012,114
12/8/2012,125
12/9/2012,146
12/10/2012,164
12/11/2012,155
12/12/2012,160
12/13/2012,160
12/14/2012,168
12/15/2012,153
12/16/2012,145
12/17/2012,159
12/18/2012,156
12/19/2012,129
12/20/2012,123
12/21/2012,116
12/22/2012,121
12/23/2012,130
12/24/2012,136
12/25/2012,125
12/26/2012,120
12/27/2012,120
12/28/2012,122
12/29/2012,131
12/30/2012,142
12/31/2012,144
1/1/2013,140
1/2/2013,146
1/3/2013,148
1/4/2013,146
1/5/2013,142
1/6/2013,136
1/7/2013,148
1/8/2013,150
1/9/2013,154
1/10/2013,174
1/11/2013,193
1/12/2013,193
1/13/2013,184
1/14/2013,173
1/15/2013,177
1/16/2013,164
1/17/2013,166
1/18/2013,163
1/19/2013,157
1/20/2013,153
1/21/2013,144
1/22/2013,134
1/23/2013,125
1/24/2013,123
1/25/2013,114
1/26/2013,111
1/27/2013,114
1/28/2013,106
1/29/2013,102
1/30/2013,107
1/31/2013,111
2/1/2013,115
2/2/2013,111
2/3/2013,114
2/4/2013,125
2/5/2013,132
2/6/2013,134
2/7/2013,128
2/8/2013,147
2/9/2013,121
2/10/2013,120
2/11/2013,106
2/12/2013,105
2/13/2013,95.2
2/14/2013,99
2/15/2013,98
2/16/2013,93.7
2/17/2013,84.1
2/18/2013,76.6
2/19/2013,67.6
2/20/2013,70.8
2/21/2013,80.9
2/22/2013,85.2
2/23/2013,89
2/24/2013,85
2/25/2013,83.2
2/26/2013,86.5
2/27/2013,89.7
2/28/2013,86.4
3/1/2013,76.7
3/2/2013,73.6
3/3/2013,78.4
3/4/2013,81.1
3/5/2013,84.1
3/6/2013,79.6
3/7/2013,74.1
3/8/2013,66.9
3/9/2013,70.7
3/10/2013,73.4
3/11/2013,74
3/12/2013,66.8
3/13/2013,68.3
3/14/2013,63.8
3/15/2013,67.5
3/16/2013,70.4
3/17/2013,71.2
3/18/2013,70.1
3/19/2013,65.7
3/20/2013,69.4
3/21/2013,66
3/22/2013,67.7
3/23/2013,61.8
3/24/2013,59.9
3/25/2013,58.3
3/26/2013,59.9
3/27/2013,65
3/28/2013,73.1
3/29/2013,69.9
3/30/2013,68.7
3/31/2013,62.9
4/1/2013,58
4/2/2013,56.7
4/3/2013,56.3
4/4/2013,57.1
4/5/2013,53.4
4/6/2013,52.4
4/7/2013,54.6
4/8/2013,52.7
4/9/2013,51.2
4/10/2013,50.8
4/11/2013,48.5
4/12/2013,48.7
4/13/2013,48.8
4/14/2013,50.1
4/15/2013,54.1
4/16/2013,55
4/17/2013,53.2
4/18/2013,54.1
4/19/2013,54.3
4/20/2013,54.5
4/21/2013,53.6
4/22/2013,52.9
4/23/2013,52.3
4/24/2013,48.6
4/25/2013,51.2
4/26/2013,51.8
4/27/2013,46.5
4/28/2013,46.1
4/29/2013,46.4
4/30/2013,46.9
5/1/2013,47
5/2/2013,47.2
5/3/2013,50.1
5/4/2013,50.2
5/5/2013,48.8
5/6/2013,46.7
5/7/2013,45.5
5/8/2013,45.9
5/9/2013,43.1
5/10/2013,42.5
5/11/2013,41.6
5/12/2013,40.5
5/13/2013,40.8
5/14/2013,44.6
5/15/2013,45.8
5/16/2013,43.7
5/17/2013,41.8
5/18/2013,44.2
5/19/2013,40.2
5/20/2013,39
5/21/2013,39.4
5/22/2013,39.4
5/23/2013,39.3
5/24/2013,38.1
5/25/2013,39.4
5/26/2013,38.7
5/27/2013,43.4
5/28/2013,57.3
5/29/2013,50.7
5/30/2013,52.7
5/31/2013,55.6
6/1/2013,49.8
6/2/2013,53.2
6/3/2013,54.8
6/4/2013,57.7
6/5/2013,58.1
6/6/2013,56.9
6/7/2013,57.4
6/8/2013,56
6/9/2013,54.3
6/10/2013,54.5
6/11/2013,56
6/12/2013,55.2
6/13/2013,54.9
6/14/2013,51.5
6/15/2013,51
6/16/2013,50.5
6/17/2013,48.6
6/18/2013,45.6
6/19/2013,45.4
6/20/2013,44.8
6/21/2013,44.1
6/22/2013,45.8
6/23/2013,47.6
6/24/2013,46.4
6/25/2013,45
6/26/2013,44.5
6/27/2013,46.8
6/28/2013,46.2
6/29/2013,45.2
6/30/2013,47
7/1/2013,46.5
7/2/2013,47.7
7/3/2013,48.4
7/4/2013,48.9
7/5/2013,47.4
7/6/2013,47.4
7/7/2013,47.3
7/8/2013,47.1
7/9/2013,46.9
7/10/2013,46.4
7/11/2013,45.4
7/12/2013,45
7/13/2013,46.2
7/14/2013,47
7/15/2013,48.7
7/16/2013,49.9
7/17/2013,49.8
7/18/2013,48.5
7/19/2013,47.8
7/20/2013,46.4
7/21/2013,44.9
7/22/2013,43
7/23/2013,44.7
7/24/2013,44.7
7/25/2013,45.7
7/26/2013,46.7
7/27/2013,45.4
7/28/2013,46.6
7/29/2013,46.6
7/30/2013,48
7/31/2013,47
8/1/2013,45
8/2/2013,46.2
8/3/2013,45
8/4/2013,44
8/5/2013,44.5
8/6/2013,43.9
8/7/2013,46.8
8/8/2013,42.9
8/9/2013,44.9
8/10/2013,44.7
8/11/2013,50.2
8/12/2013,64.5
8/13/2013,51.6
8/14/2013,50.8
8/15/2013,52.9
8/16/2013,53.4
8/17/2013,53
8/18/2013,54.9
8/19/2013,54.1
8/20/2013,51.9
8/21/2013,51.5
8/22/2013,52.8
8/23/2013,51.1
8/24/2013,50.2
8/25/2013,49.1
8/26/2013,47.3
8/27/2013,48.4
8/28/2013,51.1
8/29/2013,56.8
8/30/2013,58.1
8/31/2013,55.6
9/1/2013,50.2
9/2/2013,51
9/3/2013,60.1
9/4/2013,57.9
9/5/2013,53.6
9/6/2013,55.5
9/7/2013,97.9
9/8/2013,76.1
9/9/2013,75.9
9/10/2013,72.2
9/11/2013,68.5
9/12/2013,59.2
9/13/2013,58.9
9/14/2013,56.2
9/15/2013,53.9
9/16/2013,52.5
9/17/2013,49.9
9/18/2013,50.6
9/19/2013,51.2
9/20/2013,50.8
9/21/2013,49.6
9/22/2013,49.2
9/23/2013,49.7
9/24/2013,50.4
9/25/2013,52.9
9/26/2013,51.6
9/27/2013,53.1
9/28/2013,50.4
9/29/2013,49.7
9/30/2013,49.8
10/1/2013,51.8
10/2/2013,56.4
10/3/2013,60.2
10/4/2013,61.1
10/5/2013,65.6
10/6/2013,70.5
10/7/2013,74.7
10/8/2013,76.3
10/9/2013,69.9
10/10/2013,72.9
10/11/2013,77.3
10/12/2013,83.6
10/13/2013,87
10/14/2013,85.5
10/15/2013,90.1
10/16/2013,97.7
10/17/2013,103
10/18/2013,101
10/19/2013,91.3
10/20/2013,87.3
10/21/2013,79.5
10/22/2013,80.1
10/23/2013,76.6
10/24/2013,76.6
10/25/2013,74
10/26/2013,75.3
10/27/2013,84.1
10/28/2013,85.4
10/29/2013,91.1
10/30/2013,93.7
10/31/2013,87.3
11/1/2013,84.1
11/2/2013,85.7
11/3/2013,95.8
11/4/2013,107
11/5/2013,112
11/6/2013,119
11/7/2013,106
11/8/2013,103
11/9/2013,103
11/10/2013,97.5
11/11/2013,85.8
11/12/2013,92.5
11/13/2013,106
11/14/2013,118
11/15/2013,109
11/16/2013,116
11/17/2013,126
11/18/2013,117
11/19/2013,118
11/20/2013,120
11/21/2013,127
11/22/2013,142
11/23/2013,145
11/24/2013,135
11/25/2013,129
11/26/2013,119
11/27/2013,105
11/28/2013,107
11/29/2013,108
11/30/2013,116
12/1/2013,118
12/2/2013,117
12/3/2013,115
12/4/2013,121
12/5/2013,122
12/6/2013,106
12/7/2013,113
12/8/2013,127
12/9/2013,107
12/10/2013,111
12/11/2013,122
12/12/2013,127
12/13/2013,130
12/14/2013,136
12/15/2013,133
12/16/2013,145
12/17/2013,148
12/18/2013,144
12/19/2013,143
12/20/2013,146
12/21/2013,150
12/22/2013,157
12/23/2013,168
12/24/2013,165
12/25/2013,168
12/26/2013,160
12/27/2013,156
12/28/2013,154
12/29/2013,154
12/30/2013,151
12/31/2013,143
1/1/2014,142
1/2/2014,141
1/3/2014,117
1/4/2014,128
1/5/2014,149
1/6/2014,155
1/7/2014,153
1/8/2014,149
1/9/2014,152
1/10/2014,142
1/11/2014,141
1/12/2014,151
1/13/2014,162
1/14/2014,172
1/15/2014,130
1/16/2014,136
1/17/2014,130
1/18/2014,116
1/19/2014,105
1/20/2014,115
1/21/2014,104
1/22/2014,105
1/23/2014,97.7
1/24/2014,91.1
1/25/2014,97.2
1/26/2014,98
1/27/2014,95.7
1/28/2014,89.1
1/29/2014,91.8
1/30/2014,103
1/31/2014,108
2/1/2014,106
2/2/2014,95.6
2/3/2014,85.3
2/4/2014,91.3
2/5/2014,88.7
2/6/2014,88.2
2/7/2014,93.4
2/8/2014,98.3
2/9/2014,96.6
2/10/2014,96.2
2/11/2014,97.2
2/12/2014,96.7
2/13/2014,97.6
2/14/2014,95
2/15/2014,89.1
2/16/2014,76
2/17/2014,71.4
2/18/2014,79.7
2/19/2014,83.7
2/20/2014,87.8
2/21/2014,89.3
2/22/2014,85.8
2/23/2014,88.3
2/24/2014,91.8
2/25/2014,87.4
2/26/2014,78.9
2/27/2014,83.6
2/28/2014,83.7
3/1/2014,83.2
3/2/2014,77.6
3/3/2014,78
3/4/2014,76.9
3/5/2014,76
3/6/2014,76
3/7/2014,75.2
3/8/2014,77.3
3/9/2014,79.6
3/10/2014,73.9
3/11/2014,69.3
3/12/2014,72.4
3/13/2014,73.7
3/14/2014,72.5
3/15/2014,69.5
3/16/2014,67.3
3/17/2014,69.5
3/18/2014,72.1
3/19/2014,66.9
3/20/2014,67.7
3/21/2014,70
3/22/2014,70.3
3/23/2014,72.7
3/24/2014,70.2
3/25/2014,69.1
3/26/2014,68.8
3/27/2014,67.3
3/28/2014,66.2
3/29/2014,65.6
3/30/2014,63.4
3/31/2014,58.6
4/1/2014,57.8
4/2/2014,NA
4/3/2014,NA
4/4/2014,64
4/5/2014,67.1
4/6/2014,66.7
4/7/2014,68
4/8/2014,60.9
4/9/2014,61.6
4/10/2014,60.1
4/11/2014,60.7
4/12/2014,58.3
4/13/2014,59.4
4/14/2014,60.6
4/15/2014,60.3
4/16/2014,59.9
4/17/2014,59.8
4/18/2014,57.8
4/19/2014,57.3
4/20/2014,56.8
4/21/2014,56.8
4/22/2014,57.2
4/23/2014,57.5
4/24/2014,59.4
4/25/2014,58.2
4/26/2014,58.2
4/27/2014,55.1
4/28/2014,56.7
4/29/2014,52.9
4/30/2014,53.8
5/1/2014,54.8
5/2/2014,59.5
5/3/2014,58
5/4/2014,60.9
5/5/2014,61.5
5/6/2014,56.7
5/7/2014,56.5
5/8/2014,58.3
5/9/2014,59.5
5/10/2014,57.8
5/11/2014,57.8
5/12/2014,55.1
5/13/2014,54.5
5/14/2014,54
5/15/2014,52.3
5/16/2014,52.1
5/17/2014,50.5
5/18/2014,45.5
5/19/2014,42.7
5/20/2014,42.8
5/21/2014,42.7
5/22/2014,42.1
5/23/2014,40.4
5/24/2014,40.2
5/25/2014,41.2
5/26/2014,40.8
5/27/2014,40.1
5/28/2014,43.5
5/29/2014,45.4
5/30/2014,42.3
5/31/2014,42.1
6/1/2014,42.3
6/2/2014,49
6/3/2014,45.9
6/4/2014,47.7
6/5/2014,46.2
6/6/2014,45.3
6/7/2014,44.1
6/8/2014,45
6/9/2014,42.1
6/10/2014,48.2
6/11/2014,48.8
6/12/2014,51.7
6/13/2014,46
6/14/2014,47.3
6/15/2014,49.1
6/16/2014,51.8
6/17/2014,54.9
6/18/2014,55.9
6/19/2014,58.2
6/20/2014,55.5
6/21/2014,53.4
6/22/2014,51.2
6/23/2014,49.2
6/24/2014,49.7
6/25/2014,49.6
6/26/2014,49.2
6/27/2014,47.5
6/28/2014,46.6
6/29/2014,47.4
6/30/2014,48.2
7/1/2014,45.5
7/2/2014,45.6
7/3/2014,44.4
7/4/2014,45.2
7/5/2014,44.2
7/6/2014,42.3
7/7/2014,44.1
7/8/2014,43.4
7/9/2014,44.9
7/10/2014,45.5
7/11/2014,45.9
7/12/2014,44.2
7/13/2014,43.8
7/14/2014,45
7/15/2014,46.6
7/16/2014,47.1
7/17/2014,48
7/18/2014,46.8
7/19/2014,47
7/20/2014,47.3
7/21/2014,46.7
7/22/2014,44.2
7/23/2014,43.5
7/24/2014,41.2
7/25/2014,41.6
7/26/2014,41.1
7/27/2014,41.3
7/28/2014,42.9
7/29/2014,45.3
7/30/2014,44.2
7/31/2014,47.5
8/1/2014,52.8
8/2/2014,49.3
8/3/2014,44.5
8/4/2014,42.3
8/5/2014,41
8/6/2014,40.8
8/7/2014,38
8/8/2014,39.7
8/9/2014,39.8
8/10/2014,41.2
8/11/2014,39.4
8/12/2014,39
8/13/2014,38.5
8/14/2014,41.6
